freq,E-signal,E-noise,N-signal,N-noise,Z-signal,Z-noise
0.0,0.004675057400000004,0.0018311451000000002,0.0042231935,0.0048363945000000005,0.0004877535000000011,0.000725377800000001
0.05889281507656066,0.0011558133125605503,0.0009298267032788005,7.352927994834496e-05,0.0007533230458676105,0.0007999168762559881,0.0005274151286040647
0.11778563015312132,0.0034876507076868585,0.0004572103407138411,0.0007558266636171359,0.00021778136732635998,0.0007776056859733711,0.0006368972572552209
0.17667844522968199,0.003587816015184116,0.00017789488609525818,0.0010827445473017472,9.537236326207004e-05,0.0008618117311251271,0.001072654069483346
0.23557126030624265,0.008724526141573272,0.000830684056996929,0.004163009820418463,0.00027534289473309424,0.0016829433328457058,0.0007859575712474998
0.2944640753828033,0.01958074861746039,0.0004447322069764631,0.004174452580424777,0.0008717734041486985,0.0025883324564832683,0.0004320873498392798
0.35335689045936397,0.013638146341215098,0.0004972163509098811,0.011315974363807624,0.0011735583168008548,0.002349964312554454,0.002069804844476503
0.41224970553592466,0.0365361071381494,0.0014597795091971914,0.014818983932116715,0.0015066798683870493,0.009115132093234586,0.0020171862420803074
0.4711425206124853,0.03692272709147645,0.0010958710811261574,0.01719355141123738,0.00026508223953576257,0.010149528022305456,0.0020395417891018114
0.5300353356890459,0.057689463039158985,0.0007612179676531242,0.038505918910542655,0.0016217338051854441,0.008785013139481566,0.004837416046248332
0.5889281507656066,0.06517857432873915,0.0008476702759928591,0.025552085910590796,0.0033950930301021045,0.008035324707761684,0.004207715832366555
0.6478209658421673,0.012062881337881224,0.0005270066680557945,0.04461345984489715,0.004155526920152282,0.003829391469666267,0.0013162841438092807
0.7067137809187279,0.0640830037524139,0.001942094657712773,0.04709470794043017,0.003892940707015076,0.023007654588355297,0.002889165264803859
0.7656065959952886,0.03376836600234362,0.0036940821520655993,0.009768163886031337,0.0043820139081337615,0.015054525588231742,0.0042282544482696565
0.8244994110718493,0.10505714790055896,0.006019908155386348,0.03737360960436142,0.005691331288590383,0.012526444065408234,0.006464952154720436
0.88339222614841,0.08034925424314122,0.007883418976177994,0.053139209623858756,0.005048982864864793,0.003656078574145772,0.0032908724169232635
0.9422850412249706,0.009783029995077894,0.006296212436117983,0.06861639675420829,0.003495111953574254,0.011214087694559092,0.007925628664591603
1.0011778563015312,0.02349578838171448,0.002408367059435235,0.05182784780568224,0.006012199840847014,0.01776586502689368,0.01893363961782803
1.0600706713780919,0.04766754667271906,0.0034563506575115556,0.0424484019393801,0.006821765988553097,0.03034623050342668,0.019039850598813825
1.1189634864546525,0.021145945624155588,0.007088230550545654,0.07802891441952806,0.006549949055481415,0.027645211019510448,0.009876980694611388
1.1778563015312131,0.07523338991442137,0.007631795413502352,0.09261681698190426,0.008479048515597694,0.007466088057363776,0.01410545687831159
1.236749116607774,0.08538119635760923,0.00531542750405787,0.04304603217990589,0.008017425809470454,0.04806093705952698,0.012115279921576641
1.2956419316843346,0.006713260809102032,0.0028020631784209564,0.07357693954025009,0.004440419800185921,0.02918400127946452,0.0035377119718945104
1.3545347467608952,0.07041241786487554,0.004456128726335754,0.046169649447369315,0.003555467790341382,0.0698783732895145,0.020167517309800955
